date,open,high,low,close,adj close,volume,vwap,nse,spy,dj,nasdaq,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,price_movmnt,beta,ds,ts_close_pr,day_of_week,le_day_of_week,close_-1_s,tr,atr,wr_10,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,close_12_ema,close_26_ema,macd,macds,macdh
2013-01-01,682.099976,685.099976,679.650024,684.5,654.12323,1007303,682.68,5993.25,1462.420044,13412.549805,3112.26001,,5.449951999999939,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0.0,2013-01-01,678.1171958321916,Tuesday,3,,,,11.008830903464403,88.9911690965356,62.99705636551186,62.99705636551186,54.33235212183728,54.33235212183728,80.32646485286101,80.32646485286101,684.5,684.5,0.0,0.0,0.0
2013-01-02,689.900024,690.0,683.049988,687.349976,656.84668,2427399,686.96,5993.25,1462.420044,13412.549805,3112.26001,5.40002400000003,6.950012000000015,,,,,,,0,0,0,0,0,0,0,0,0.0041635121259948615,0.0,0.0,0.0,0.0,1.0,0.0,2013-01-02,677.233988625528,Wednesday,4,684.5,6.950012000000015,6.950012000000015,25.604155990313775,74.39584400968623,66.7966522469033,66.7966522469033,58.48711883019262,58.48711883019262,83.41571908032468,83.41571908032468,686.0437369999999,685.9797952307691,0.06394176923072337,0.03552320512817965,0.056837128205087434
2013-01-03,690.0,690.0,680.400024,683.349976,653.024231,2285683,684.7,5993.25,1462.420044,13412.549805,3112.26001,2.6500240000000304,9.59997599999997,,,,,,,0,0,0,0,0,0,0,0,-0.005819393043137611,0.0,0.0,0.0,0.0,0.0,0.0,2013-01-03,677.1610438086539,Thursday,2,687.349976,9.59997599999997,8.3240674074074,64.25158860271802,35.748411397281984,56.44723863036286,56.44723863036286,57.80715876358269,57.80715876358269,53.727398363923214,53.727398363923214,684.9923614595841,685.0349267146377,-0.042565255053546025,0.0035197378405871626,-0.09216998578826638
2013-01-04,685.0,685.0,672.799988,679.349976,649.201782,2721127,676.86,6009.5,1459.369995,13391.360352,3100.570068,1.6500240000000304,12.200012000000015,,,,,,,0,0,0,0,0,0,0,0,-0.0058534566077993455,0.0027113836399281777,-0.002085617612062718,-0.001579822875446224,-0.0037560942731130753,0.0,-2.16,2013-01-04,677.0467634836375,Friday,0,683.349976,12.200012000000015,9.712888504570385,61.91870098695292,38.08129901304708,50.32525875792426,50.32525875792426,55.313192095029876,55.313192095029876,40.34939208371304,40.34939208371304,683.2112808770114,683.4456629247811,-0.2343820477697136,-0.07707029793525996,-0.3146234996689073
2013-01-07,683.700012,683.700012,666.0,668.200012,638.546509,2751142,671.03,6016.149902,1466.469971,13435.209961000002,3101.659912,4.3500360000000455,17.700012000000015,,,,,,,0,0,0,0,0,0,0,0,-0.01641288316734779,0.0011065649388468657,0.004865096599440566,0.0032744700947020533,0.0003514979426679776,0.0,-14.83,2013-01-07,673.5178747448767,Monday,1,679.349976,17.700012000000015,11.936801936478949,90.83328333333327,9.16671666666673,36.60574472750508,36.60574472750508,49.07737630585494,49.07737630585494,11.662481570805369,11.662481570805369,679.1327727730519,679.910133593129,-0.7773608200770923,-0.28539089590700917,-0.9839398483401662
2013-01-08,668.0,673.400024,665.700012,670.25,640.505676,2471299,669.34,5988.399902,1461.890015,13384.290039,3098.810059,-0.20001200000001518,7.700012000000015,,,,,,,0,0,0,0,0,0,0,0,0.0030681664880889414,-0.004612584535298003,-0.003123116115959057,-0.0037900354477387044,-0.0009188154345918242,1.0,-0.67,2013-01-08,671.6016903519956,Tuesday,3,668.200012,7.700012000000015,10.95944323329591,81.27576030078703,18.72423969921297,30.64524305140771,30.64524305140771,42.93333188770586,42.93333188770586,6.069065378811416,6.069065378811416,676.9737916682611,677.9752858808869,-1.0014942126257438,-0.47949470931199184,-1.0439990066275038
2013-01-09,672.0,672.549988,666.049988,667.5,637.877625,3217991,669.96,6001.700195,1457.150024,13328.849609,3091.810059,1.75,6.5,,,,,,,0,0,0,0,0,0,0,0,-0.004103087760927271,0.0022210094879533404,-0.0032423718278149494,-0.004142201778237986,-0.002258931611400228,0.0,-1.85,2013-01-09,670.8531764980761,Wednesday,4,670.25,6.5,10.072044839930935,92.59263831735231,7.407361682647687,22.899282595154368,22.899282595154368,36.255315456855364,36.255315456855364,-3.8127831282476308,-3.8127831282476308,674.8597482037565,676.1123105894137,-1.2525623856572565,-0.6751375146260419,-1.1548497420624293
2013-01-10,669.5,678.0,666.5,675.799988,645.8093259999999,2282592,673.9,5971.5,1461.02002,13390.509766,3105.810059,2.0,11.5,,,,,,,0,0,0,0,0,0,0,0,0.012434518298082509,-0.005031939953475173,0.002655866545145713,0.00462606742583116,0.004528091872670892,1.0,-2.47,2013-01-10,670.8878047971172,Thursday,2,667.5,11.5,10.32405100564536,58.43629223191395,41.56370776808604,29.120757652798257,29.120757652798257,33.87712952216966,33.87712952216966,19.608013914055448,19.608013914055448,675.0559617572167,676.0619876814284,-1.0060259242117127,-0.7546562218073999,-0.5027394048086256
2013-01-11,676.900024,676.900024,666.700012,669.299988,639.597717,2570857,670.13,5968.649902,1472.119995,13471.219727000002,3121.76001,1.1000360000000455,10.200012000000015,,,,,,,0,0,0,0,0,0,0,0,-0.009618332764677273,-0.00047728342962405357,0.007597414715782014,0.006027400181950693,0.005135520426878815,0.0,20.15,2013-01-11,670.865585347553,Friday,0,675.799988,10.200012000000015,10.304241565290743,85.18527663470464,14.814723365295373,24.35207955696396,24.35207955696396,30.702112867101093,30.702112867101093,11.652012936689701,11.652012936689701,673.9172252758144,675.0597108828875,-1.1424856070731266,-0.8442467338352846,-0.5964777464756841
2013-01-14,668.150024,670.5,667.099976,669.299988,639.597717,2847437,669.13,5951.299805,1472.050049,13488.429688,3125.6298829999996,-1.1499639999999545,3.4000240000000304,,,,,,,0,0,0,0,0,0,0,0,0.0,-0.002906871283267387,-4.7513789798170336e-05,0.0012775354681140438,0.001239644619574598,1.0,-0.0,2013-01-14,667.5798199640084,Monday,1,669.299988,3.4000240000000304,9.291054006312606,85.18527663470464,14.814723365295373,21.172960826407763,21.172960826407763,27.52572885353665,27.52572885353665,8.467424772149997,8.467424772149997,673.042260606511,674.2649251826341,-1.2226645761230657,-0.9290342976333457,-0.58726055697944
