,Date,Open,High,Low,Close,Adj Close,Volume,NSE,SPY,DJ,NASDAQ,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_pr_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,vwap,price_movmnt,beta,ds,TS_close_pr
0,2015-01-01,2457.0,2476.399902,2432.0,2451.75,2300.317871,164726.0,8395.450195,2058.199951,17832.990234,4726.810059,,44.39990200000011,,,,,,,0,0,0,0,0,0,0,0,,,,,,2451.75,,,2015-01-01,2454.6384085899927
1,2015-01-02,2457.0,2476.399902,2432.0,2451.75,2300.317871,164726.0,8395.450195,2058.199951,17832.990234,4726.810059,5.25,44.39990200000011,,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2451.75,1.0,,2015-01-02,2454.0763404634326
2,2015-01-03,2457.0,2476.399902,2432.0,2451.75,2300.317871,164726.0,8395.450195,2058.199951,17832.990234,4726.810059,5.25,44.39990200000011,,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2451.75,1.0,,2015-01-03,2451.1860974326146
3,2015-01-04,2457.0,2476.399902,2432.0,2451.75,2300.317871,164726.0,8395.450195,2058.199951,17832.990234,4726.810059,5.25,44.39990200000011,,,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2451.75,1.0,,2015-01-04,2447.9896366218104
4,2015-01-05,2452.0,2481.199951,2450.0,2460.699951,2308.715088,118873.0,8378.400391,2020.5799559999998,17501.650391,4652.569824,0.25,31.199951000000056,,,,,,,0,0,0,0,0,0,0,0,0.0036504594020951853,-0.0020308385618384994,-0.01827810508970329,-0.01858016174809962,-0.0157062022956993,2460.7,1.0,-1.7975,2015-01-05,2444.367621940321
5,2015-01-06,2454.300049,2469.899902,2430.0,2441.5,2290.700928,580496.0,8127.350098000001,2002.609985,17371.640625,4592.740234000001,-6.399902000000111,39.89990200000011,,,,,,,0,0,0,0,0,0,0,0,-0.0078026778157390675,-0.02996398850425841,-0.008893471870112801,-0.007428428925014718,-0.012859471703438374,2441.5,0.0,0.2604,2015-01-06,2440.4421997399945
6,2015-01-07,2442.0,2475.600098,2432.050049,2447.199951,2296.049072,189191.0,8102.100098000001,2025.9000239999998,17584.519531,4650.470215,0.5,43.550048999999944,,,,,,,0,0,0,0,0,0,0,0,0.0023347194453136044,-0.0031067936898908632,0.011629842642575161,0.012254392696429806,0.012569833706819633,2447.2,1.0,-0.7515,2015-01-07,2437.3269797099583
7,2015-01-08,2447.649902,2465.0,2436.100098,2450.399902,2299.05127,4301348.0,8234.599609,2062.139893,17907.869141,4736.189941,0.4499510000000555,28.89990200000011,,,,,,,0,0,0,0,0,0,0,0,0.001307549580107592,0.016353724268687753,0.01788828104579765,0.018388310776985328,0.018432485756711747,2450.4,1.0,0.08,2015-01-08,2435.48773920098
8,2015-01-09,2455.0,2468.899902,2350.0,2375.850098,2229.105957,245974.0,8284.5,2044.810059,17737.369141,4704.069824,4.600097999999889,118.89990200000011,,,,,,,0,0,0,0,0,0,0,0,-0.03042355510410155,0.00605984423886996,-0.008403811040573306,-0.009520954093284129,-0.006781847307673172,2375.85,0.0,-5.0205,2015-01-09,2433.305226425715
9,2015-01-10,2455.0,2468.899902,2350.0,2375.850098,2229.105957,245974.0,8284.5,2044.810059,17737.369141,4704.069824,79.14990200000011,118.89990200000011,,,,2435.85,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2375.85,1.0,,2015-01-10,2428.9037877966957
