Date,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BHARTIARTL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDPETRO.NS,HINDUNILVR.NS,IBULHSGFIN.NS,ICICIBANK.NS,INDUSINDBK.NS,INFRATEL.NS,INFY.NS,IOC.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS,YESBANK.NS,ZEEL.NS
2013-01-01,134.80545,184.509155,393.388977,91.947716,1168.437134,2300.317871,101.74794,312.2948,9097.167969,75.28456899999999,409.42193599999996,239.104538,1768.438721,2842.62085,162.883957,273.790192,778.7966309999999,654.12323,1648.8238529999999,128.415146,27.209269,483.673187,205.52281200000002,150.94046,410.92871099999996,175.09901399999998,443.51998899999995,35.908081,166.339447,322.880981,646.2200320000001,599.083557,423.89227300000005,1465.231689,131.94889799999999,140.97264099999998,101.694633,380.683624,162.694351,363.291992,309.782898,368.073029,520.680603,207.830673,1989.694824,125.031273,158.064438,168.577484,71.661201,215.35803199999998
2013-01-02,135.441299,186.749207,388.84411600000004,95.868973,237.82890299999997,2300.317871,100.630241,311.27673300000004,9182.201172,77.429001,412.364288,238.2742,1770.3173829999998,2776.783936,166.23336799999998,275.154419,791.559021,656.84668,1655.775635,129.22882099999998,27.866514000000002,483.582031,205.52281200000002,152.967072,420.39489699999996,178.419449,443.586853,36.62854,165.26843300000002,326.333557,656.022888,599.278503,422.45196500000003,1506.835693,133.645981,144.63378899999998,101.02471899999999,383.966553,164.310226,363.979797,311.004669,368.031586,520.330505,209.17695600000002,2001.941284,124.37023899999998,161.48678600000002,167.23959399999998,73.291229,222.878937
2013-01-03,135.294571,188.760681,391.04534900000004,96.106636,1191.80249,2300.317871,103.339737,318.015167,9117.710938,77.386528,409.81424,239.436646,1813.281982,2781.549072,165.59491,275.46252400000003,790.5306400000001,653.024231,1640.655029,128.65448,27.988537,485.26831100000004,205.52281200000002,152.712677,421.657074,180.94300800000002,449.099945,36.567935999999996,164.196579,325.340027,650.972412,593.382141,421.461792,1493.1933589999999,133.688416,147.372162,101.96260799999999,389.762634,165.72166399999998,360.516296,311.102509,371.51669300000003,527.4561160000001,209.543823,1991.711304,129.186417,162.68061799999998,168.95976299999998,73.944748,222.92715499999997
2013-01-04,134.51196299999998,188.440704,391.516754,95.845215,236.474152,2300.317871,103.388054,317.045593,9056.904297,79.024475,408.14694199999997,241.66194199999998,1820.073486,2745.032471,169.150146,279.027039,783.237671,649.201782,1640.655029,126.883568,29.462606,487.41058300000003,205.52281200000002,154.06135600000002,418.210419,183.422272,451.33831799999996,37.86071,163.531219,323.005188,647.4531860000001,589.1427610000001,423.64471399999996,1495.2735599999999,134.833954,150.006195,102.6772,390.260742,166.73413100000002,361.15499900000003,308.462219,364.12506099999996,535.117126,209.800262,2008.4824219999998,128.336487,160.531693,171.444412,73.471512,218.925644
2013-01-07,137.006561,186.383499,390.836365,95.821457,235.428085,2300.317871,103.235405,316.85168500000003,9040.283203,81.454163,416.18924,239.270615,1818.387573,2765.211182,166.96254,276.320618,769.446655,638.546509,1648.780396,128.65448,30.89443,478.933075,205.52281200000002,154.02839699999998,418.792938,183.643631,456.188263,37.874176,161.590744,322.13580299999995,631.604065,583.587463,429.45080599999994,1533.1525880000002,133.73085,151.69139099999998,102.185921,387.883392,165.453461,365.576385,306.359711,370.341492,533.325439,206.360641,2007.30188,129.611343,161.28784199999998,171.99662800000002,74.853645,215.261612
2013-01-08,134.463043,184.692017,390.81417799999997,95.393677,233.275879,2300.317871,103.141808,320.245148,8991.928711,80.450737,421.240234,239.303833,1838.184204,2717.851318,166.14181499999998,279.31311,785.6687009999999,640.505676,1634.702026,127.31433100000001,30.349869,479.0242,205.52281200000002,153.69013999999999,421.123047,179.70336899999998,450.271759,37.887642,165.44215400000002,324.27194199999997,623.153503,582.759094,431.318695,1523.719116,133.603561,152.79747,104.017044,385.18917799999997,167.18000800000002,370.636414,307.239502,363.998962,535.549744,206.2164,1986.104614,129.941879,158.939941,169.10841399999998,75.063988,215.984787
2013-01-09,132.213013,180.120422,388.150391,93.39739200000001,1157.247681,2300.317871,102.20285,323.590118,8925.016602,81.496635,420.161346,241.595596,1840.8333739999998,2691.156982,168.898972,279.819214,776.038269,637.877625,1605.677124,126.40493799999999,31.537569,473.37258899999995,205.52281200000002,153.806961,421.89975,181.56282,447.774536,38.560963,161.851334,322.45871,616.313416,577.252563,434.086731,1518.639526,132.118607,153.90358,103.21315,386.117462,169.154648,373.95248399999997,320.1492,354.717987,525.8085940000001,209.110199,1930.234131,128.43090800000002,156.671616,168.64119,75.747528,215.35803199999998
2013-01-10,132.84892299999998,175.320267,388.021362,90.711929,1172.981689,2300.317871,104.75200699999999,320.002777,9035.24707,80.471642,417.268097,242.89086899999998,1840.0145260000002,2728.889404,167.46409599999998,282.34963999999997,771.830933,645.8093259999999,1606.5896,124.49043300000001,31.007115999999996,470.91137699999996,205.52281200000002,153.683701,428.356201,181.607117,446.1033019999999,38.534023,162.719955,324.81838999999997,615.080322,570.1867679999999,432.668976,1521.251831,130.506348,159.19696000000002,101.739304,384.91747999999995,170.247559,370.538177,326.35992400000003,353.205994,518.312195,217.168304,1868.0686039999998,129.280838,153.84622199999998,168.02531399999998,77.43766,217.72036699999998
2013-01-11,128.838013,170.428665,382.39590499999997,87.693741,1169.637695,2300.317871,103.22773000000001,315.300415,8916.150391,78.337349,413.394104,239.56955,1830.188477,2733.459717,166.096451,283.77981600000004,756.8711549999999,639.597717,1598.5076900000001,121.618698,30.608057000000002,454.047546,205.52281200000002,151.605469,418.501617,181.916992,520.982117,38.345501,158.31951899999999,312.97024500000003,609.254272,572.7694700000001,422.136963,1514.430786,129.57293700000002,153.982544,101.069389,380.32135,167.025787,363.169159,323.132507,350.517883,538.062012,220.22862200000003,1852.4781489999998,126.495003,154.72169499999998,178.36763,74.876183,223.987808
2013-01-14,133.338043,173.76591499999998,388.27484100000004,91.282288,1188.501465,2300.317871,103.88745899999999,318.693848,8922.838867,78.84446,408.294037,238.57310499999997,1842.9044190000002,2688.433838,169.035889,296.07980299999997,773.2800900000001,639.597717,1601.766479,122.76738700000001,30.978931,460.61071799999996,205.52281200000002,154.41966200000002,427.336761,183.997833,539.116028,38.796623,160.925385,312.24987799999997,618.341003,564.387939,420.831696,1489.129883,130.718521,160.77706899999998,100.08683,383.785431,167.609116,361.228668,320.49121099999996,355.977844,549.656616,223.044937,1835.608643,130.461243,156.671616,178.027847,76.093071,224.373489
