,Date,Open,High,Low,Close,Adj Close,Volume,NSE,SPY,DJ,NASDAQ,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_pr_cut_ltma_a,stma_overlaps_ltma,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_overlaps_stma,close_pr_cut_ltma_b,close_pr_cut_ltma_a,close_pr_overlaps_ltma,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,vwap,price_movmnt,beta,ds,TS_close_pr
0,2015-01-01,759.299988,761.900024,754.150024,758.450012,718.8603519999999,372132.0,8395.450195,2058.199951,17832.990234,4726.810059,,7.75,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,758.45,,,2015-01-01,797.3150316219677
1,2015-01-02,757.0,766.0,752.650024,755.950012,716.490784,1207322.0,8395.450195,2058.199951,17832.990234,4726.810059,-1.4500120000000152,13.34997599999997,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-0.003296284171755204,0.0,0.0,0.0,0.0,755.95,0.0,,2015-01-02,801.8604416444234
2,2015-01-03,757.0,766.0,752.650024,755.950012,716.490784,1207322.0,8395.450195,2058.199951,17832.990234,4726.810059,1.0499879999999848,13.34997599999997,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,755.95,1.0,,2015-01-03,806.9007387999126
3,2015-01-04,757.0,766.0,752.650024,755.950012,716.490784,1207322.0,8395.450195,2058.199951,17832.990234,4726.810059,1.0499879999999848,13.34997599999997,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,755.95,1.0,,2015-01-04,812.0382170500734
4,2015-01-05,759.75,761.900024,755.099976,760.299988,720.613708,849252.0,8378.400391,2020.5799559999998,17501.650391,4652.569824,3.799987999999985,6.800048000000061,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.005754329423447224,-0.0020308385618384994,-0.01827810508970329,-0.01858016174809962,-0.0157062022956993,760.3,1.0,-2.8335,2015-01-05,818.4172234676341
5,2015-01-06,767.0,779.900024,755.400024,774.700012,734.262085,2738679.0,8127.350098000001,2002.609985,17371.640625,4592.740234000001,6.700012000000015,24.5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.018939935291933052,-0.02996398850425841,-0.008893471870112801,-0.007428428925014718,-0.012859471703438374,774.7,1.0,-0.6321,2015-01-06,823.9065424193702
6,2015-01-07,779.0,806.799988,779.0,801.900024,760.042297,3744143.0,8102.100098000001,2025.9000239999998,17584.519531,4650.470215,4.299987999999985,27.799987999999985,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.03511036798257128,-0.0031067936898908632,0.011629842642575161,0.012254392696429806,0.012569833706819633,801.9,1.0,-11.3012,2015-01-07,831.9428425086245
7,2015-01-08,803.900024,825.0,803.150024,817.049988,774.401489,3076833.0,8234.599609,2062.139893,17907.869141,4736.189941,2.0,21.84997599999997,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.018892622235207046,0.016353724268687753,0.01788828104579765,0.018388310776985328,0.018432485756711747,817.05,1.0,1.1552,2015-01-08,836.7981409233789
8,2015-01-09,818.5,868.400024,817.049988,864.599976,819.469421,3825060.0,8284.5,2044.810059,17737.369141,4704.069824,1.4500120000000152,51.350036000000046,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0581971143394846,0.00605984423886996,-0.008403811040573306,-0.009520954093284129,-0.006781847307673172,864.6,1.0,9.6037,2015-01-09,841.9101442646903
9,2015-01-10,818.5,868.400024,817.049988,864.599976,819.469421,3825060.0,8284.5,2044.810059,17737.369141,4704.069824,-46.09997599999997,51.350036000000046,,,,790.9450012,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,864.6,1.0,,2015-01-10,847.4197202300284
