date,open,high,low,close,adj close,volume,vwap,nse,spy,dj,nasdaq,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,price_movmnt,beta,ds,ts_close_pr,day_of_week,le_day_of_week,close_-1_s,tr,atr,wr_10,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,close_12_ema,close_26_ema,macd,macds,macdh
2013-01-01,194.699997,199.800003,194.0,197.75,175.09901399999998,2619486,197.64,5993.25,1462.420044,13412.549805,3112.26001,,5.800003000000004,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0.0,2013-01-01,215.09771933434234,Tuesday,3,,,,35.3448610285202,64.6551389714798,54.88504632382659,54.88504632382659,51.62834877460886,51.62834877460886,61.39844142226205,61.39844142226205,197.75,197.75,0.0,0.0,0.0
2013-01-02,198.300003,204.350006,197.0,201.5,178.419449,5470399,200.96,5993.25,1462.420044,13412.549805,3112.26001,0.5500030000000038,7.350006000000008,,,,,,,0,0,0,0,0,0,0,0,0.01896318502398886,0.0,0.0,0.0,0.0,1.0,0.0,2013-01-02,215.0066312279169,Wednesday,4,197.75,7.350006000000008,7.350006000000008,27.53627389201519,72.46372610798481,60.74460625187933,60.74460625187933,54.66710126703234,54.66710126703234,72.89961622157331,72.89961622157331,199.78125,199.69711538461536,0.08413461538464162,0.046741452991467564,0.07478632478634811
2013-01-03,200.0,206.5,200.0,204.350006,180.94300800000002,3626134,204.11,5993.25,1462.420044,13412.549805,3112.26001,-1.5,6.5,,,,,,,0,0,0,0,0,0,0,0,0.014143968127600548,0.0,0.0,0.0,0.0,1.0,0.0,2013-01-03,214.80728736782683,Thursday,2,201.5,6.5,6.909262148148152,17.19995199999994,82.80004800000006,68.09642016791958,68.09642016791958,59.14354090066142,59.14354090066142,86.00217870243588,86.00217870243588,201.56443652193994,201.36885380680135,0.19558271513858472,0.10774197026487621,0.175681489747417
2013-01-04,205.0,210.0,202.350006,207.149994,183.422272,4188477,207.22,6009.5,1459.369995,13391.360352,3100.570068,0.6499939999999924,7.649993999999992,,,,,,,0,0,0,0,0,0,0,0,0.013701905519333257,0.0027113836399281777,-0.002085617612062718,-0.001579822875446224,-0.0037560942731130753,1.0,5.05,2013-01-04,214.0974621850408,Friday,0,204.350006,7.649993999999992,7.174679776965265,17.812537500000047,82.18746249999995,72.79343427861303,72.79343427861303,63.69350535997862,63.69350535997862,90.99329211588186,90.99329211588186,203.3275787316092,202.98500797142367,0.3425707601855379,0.1872910183409811,0.31055948368911357
2013-01-07,207.850006,209.0,206.100006,207.399994,183.643631,2632614,207.99,6016.149902,1466.469971,13435.209961000002,3101.659912,0.7000120000000152,2.8999939999999924,,,,,,,0,0,0,0,0,0,0,0,0.0012068272712268957,0.0011065649388468657,0.004865096599440566,0.0032744700947020533,0.0003514979426679776,1.0,1.09,2013-01-07,213.1600004299165,Monday,1,207.149994,2.8999939999999924,5.984447633688481,16.250037500000047,83.74996249999995,76.44561035240866,76.44561035240866,67.94420702412197,67.94420702412197,93.44841700898206,93.44841700898206,204.43403940531388,204.00886144149717,0.4251779638167079,0.25805700640491697,0.3342419148235819
2013-01-08,207.550003,211.05000299999998,201.699997,202.949997,179.70336899999998,1310534,206.18,5988.399902,1461.890015,13384.290039,3098.810059,0.15000900000001138,9.35000599999998,,,,,,,0,0,0,0,0,0,0,0,-0.021456023160422166,-0.004612584535298003,-0.003123116115959057,-0.0037900354477387044,-0.0009188154345918242,0.0,4.65,2013-01-08,212.62941161299324,Tuesday,3,207.399994,9.35000599999998,6.760827347977248,47.507358209848945,52.49264179015106,68.4612874983228,68.4612874983228,68.1165671821889,68.1165671821889,69.15072813059061,69.15072813059061,204.0733390256418,203.79677933906513,0.2765596865766611,0.2630722614605766,0.026974850232168945
2013-01-09,204.25,207.899994,203.300003,205.050003,181.56282,1316038,205.71,6001.700195,1457.150024,13328.849609,3091.810059,1.3000030000000038,4.599990999999989,,,,,,,0,0,0,0,0,0,0,0,0.010347335224416554,0.0022210094879533404,-0.0032423718278149494,-0.004142201778237986,-0.002258931611400228,1.0,4.66,2013-01-09,212.48734614094693,Wednesday,4,202.949997,4.949996999999996,6.400484619662285,35.19060964388089,64.80939035611911,67.24398845092156,67.24398845092156,67.82570760509978,67.82570760509978,66.08055014256513,66.08055014256513,204.29127817443333,204.01965867062316,0.27161950381017164,0.2652353404795822,0.012768326661178886
2013-01-10,205.0,207.0,203.0,205.100006,181.607117,1061770,204.98,5971.5,1461.02002,13390.509766,3105.810059,-0.050003000000003794,4.0,,,,,,,0,0,0,0,0,0,0,0,0.00024397616207982864,-0.005031939953475173,0.002655866545145713,0.00462606742583116,0.004528091872670892,1.0,-0.05,2013-01-10,212.22057495374492,Thursday,2,205.050003,4.0,5.976846019674115,34.89733696821036,65.10266303178963,66.53021331121091,66.53021331121091,67.39387617380349,67.39387617380349,64.80288758602578,64.80288758602578,204.46004720662125,204.19372939458384,0.2663178120374141,0.26549547875081136,0.0016446665732055
2013-01-11,204.399994,206.800003,203.600006,205.449997,181.916992,560597,205.04,5968.649902,1472.119995,13471.219727000002,3121.76001,-0.7000120000000152,3.199996999999996,,,,,,,0,0,0,0,0,0,0,0,0.001706293261623637,-0.00047728342962405357,0.007597414715782014,0.006027400181950693,0.005135520426878815,1.0,-3.58,2013-01-11,211.4330994305691,Friday,0,205.100006,3.199996999999996,5.533374026789102,32.84460419156517,67.15539580843483,66.73860747695221,66.73860747695221,67.17545327485306,67.17545327485306,65.86491588115052,65.86491588115052,204.6558945110089,204.37993583247015,0.2759586785387569,0.2679125298100286,0.01609229745745655
2013-01-14,205.199997,208.25,202.899994,207.800003,183.997833,440016,206.23,5951.299805,1472.050049,13488.429688,3125.6298829999996,-0.25,5.350006000000008,,,,,,,0,0,0,0,0,0,0,0,0.011438409227874757,-0.002906871283267387,-4.7513789798170336e-05,0.0012775354681140438,0.001239644619574598,1.0,-3.93,2013-01-14,210.166312528297,Monday,1,205.449997,5.350006000000008,5.506464938003853,19.061580223768736,76.86833234128152,70.11518243172864,70.11518243172864,68.15536299381158,68.15536299381158,74.03482130756277,74.03482130756277,205.25170184773256,204.85187181514297,0.39983003258959116,0.2974697082331777,0.2047206487128269
