Date,Open,High,Low,Close,Adj Close,Volume,DOWJONES,NASDAQ,NSE
2017-03-14,2556.800049,2587.149902,2551.050049,2567.5,2519.130615,1701147,20837.369141,5856.819824,9087.000000
2017-03-15,2572.0,2572.149902,2493.850098,2498.300049,2451.2341309999997,1511248,20950.099609,5900.049805,9084.799805
2017-03-16,2506.0,2527.0,2506.0,2520.899902,2473.408447,785909,20934.550781,5900.759765999999,9153.700195
2017-03-17,2546.0,2546.0,2509.75,2525.75,2478.167236,1296576,20914.619141,5901.0,9160.049805
2017-03-20,2525.949951,2525.949951,2466.0,2480.0,2433.279297,1743770,20905.859375,5901.529785,9126.849609
2017-03-21,2482.0,2492.0,2465.0,2486.699951,2439.852783,1686850,20668.009766,5793.830078,9121.500000
2017-03-22,2480.149902,2496.0,2469.949951,2478.949951,2432.249023,944358,20661.300781,5821.640136999999,9030.450195
2017-03-23,2482.0,2485.050049,2447.199951,2460.350098,2413.999268,1310319,20656.580078,5817.689941,9086.299805
2017-03-24,2469.800049,2469.800049,2423.300049,2427.199951,2381.473877,2549907,20596.720703,5828.740234000001,9108.000000
2017-03-27,2426.949951,2440.0,2406.0,2412.050049,2366.6091309999997,1090635,20550.980469,5840.370117,9045.200195
2017-03-28,2410.0,2443.399902,2410.0,2429.949951,2384.1721190000003,576579,20701.5,5875.140136999999,9100.799805
2017-03-29,2436.0,2450.800049,2425.600098,2444.600098,2398.546143,858882,20659.320313,5897.549805,9143.799805
2017-03-30,2444.899902,2465.0,2435.0,2441.0,2395.013428,1493043,20728.490234,5914.339844,9173.750000
2017-03-31,2438.399902,2440.850098,2415.0,2431.800049,2385.987061,933522,20663.220703,5911.740234000001,9173.750000
2017-04-03,2435.0,2435.0,2408.199951,2411.699951,2366.2658690000003,598444,20650.210938,5894.680176,9237.849609
2017-04-05,2411.699951,2419.899902,2395.0,2401.25,2356.012695,1452784,20648.150391,5864.47998,9265.150391
2017-04-06,2400.0,2410.0,2392.550049,2400.050049,2354.8354489999997,860352,20662.949219,5878.950195,9261.950195
2017-04-07,2394.899902,2433.25,2392.149902,2429.050049,2383.288818,1138506,20656.099609,5877.810059,9198.299805
2017-04-10,2432.0,2449.0,2405.0,2422.25,2376.6171879999997,1271632,20658.019531,5880.930176,9181.450195
2017-04-11,2417.300049,2443.100098,2406.0,2419.300049,2373.722412,778892,20651.300781,5866.77002,9237.000000
2017-04-12,2422.5,2428.0,2383.0,2393.25,2348.16333,525269,20591.859375,5836.160156,9203.450195
2017-04-13,2400.0,2409.0,2321.050049,2328.649902,2284.780029,1250236,20453.25,5805.149902,9150.799805
